Kategori,Nama Pangan,Wilayah Tumbuh,Kandungan Gizi Utama,Manfaat untuk Anak Stunting
Sumber Pangan Lain,Jus Wortel + Jeruk,Umum,Beta-karoten + Vitamin C,Meningkatkan penyerapan vitamin A
Sumber Pangan Lain,Sop Bayam + Tempe,Umum,Zat Besi + Protein Nabati,Kombinasi lokal tinggi zat besi dan protein
Sumber Pangan Lain,Sop Ikan + Sayur,Umum,Protein + Vitamin + Mineral,Menu seimbang untuk anak stunting
Sumber Pangan Lain,Nasi Merah + Lauk + Sayur,Umum,Serat + Protein + Vitamin,Menu harian ideal untuk pemulihan stunting
Sumber Pangan Lain,Puding Rumput Laut,Umum,"Yodium, Kalsium, Serat",Makanan selingan bergizi untuk anak
Sumber Pangan Lain,Keripik Talas Panggang,Umum,"Serat, Karbohidrat Kompleks",Camilan sehat pengganti gorengan
Sumber Pangan Lain,Selai Kacang Alami,Umum,"Lemak Sehat, Protein, Zinc",Camilan tinggi energi untuk anak stunting
Sumber Pangan Lain,Susu Kedelai Fortifikasi,Umum,"Protein, Kalsium, Vitamin D",Alternatif susu untuk daerah non-peternakan
Sumber Pangan Lain,Bubur Oat + Pisang,Umum,Serat + Kalium + Protein,MPASI modern bergizi
Sumber Pangan Lain,Puding Tempe Manis,Umum,"Protein, Kalsium, Serat",Inovasi MPASI berbasis tempe
Sumber Pangan Lain,Biskuit Tahu,Umum,"Protein, Kalsium",Makanan selingan tinggi protein
Sumber Pangan Lain,Es Buah Campur,Umum,"Vitamin, Serat, Air",Camilan sehat penunjang hidrasi
Sumber Pangan Lain,Selai Alpukat + Madu,Umum,Lemak Sehat + Antioksidan,Alternatif selai bergizi tinggi
Sumber Pangan Lain,Bubur Jagung + Kacang Hijau,Umum,Energi + Protein + Zat Besi,MPASI tradisional bergizi seimbang
Sumber Pangan Lain,Sayur Lodeh,Umum,Lemak Sehat + Serat + Vitamin,Makanan tradisional padat gizi
Sumber Pangan Lain,Pepes Ikan,Umum,Protein + Zat Besi + Omega-3,Makanan lokal tinggi gizi
Sumber Pangan Lain,Buntil Daun Singkong,Umum,Protein + Zat Besi + Serat,Makanan tradisional Jawa tinggi zat besi
Sumber Pangan Lain,Lemper Isi Ayam,Umum,Karbohidrat + Protein,Makanan selingan energi tinggi
Sumber Pangan Lain,Onde-onde Kacang Hijau,Umum,Karbohidrat + Protein + Serat,Camilan tradisional bergizi
Sumber Pangan Lain,Kue Lapis Beras Merah,Umum,Serat + Zat Besi + Karbohidrat,MPASI selingan kaya serat
Sumber Pangan Lain,Bubur Candil Ubi Ungu,Umum,Antosianin + Karbohidrat,Makanan tradisional kaya antioksidan
Sumber Pangan Lain,Serabi Kuah Santan,Umum,Karbohidrat + Lemak Sehat,Meningkatkan kalori untuk anak kurus
Sumber Pangan Lain,Klepon Gula Aren,Umum,Karbohidrat + Zat Besi,Makanan tradisional sumber energi dan mineral
Sumber Pangan Lain,Nagasari Pisang,Umum,Karbohidrat + Kalium + Serat,Camilan sehat berbasis pisang
Sumber Pangan Lain,Tiwul (Gaplek),Umum,"Karbohidrat, Serat, Kalsium",Makanan pengganti nasi di daerah kering
Sumber Pangan Lain,Jagung Bisi,Umum,"Karbohidrat, Folat, Magnesium",Makanan pokok alternatif tinggi folat
